Ticker,Avg_Daily_Return_2025,Std_2025,Cum_Return_2025,Ann_Vol_2025,Sharpe_2025
000660.KS,0.0069,0.0351,34.6877,0.626,0.4977
005930.KS,0.005,0.0239,20.5447,0.5402,0.4977
0700.HK,0.001,0.0199,349.9719,0.2444,0.4977
0939.HK,0.0012,0.0139,8.3852,0.1946,0.4977
1288.HK,0.0011,0.0148,4.2431,0.1897,0.4977
1398.HK,0.0011,0.0126,4.9825,0.197,0.4977
2222.SR,-0.0001,0.0093,1.1498,0.1573,0.4977
AAPL,0.0004,0.0201,118.1301,0.2888,0.4977
ABBV,0.0011,0.0166,10.8438,0.2592,0.4977
AMD,0.0025,0.0389,6.1775,0.7327,0.4977
AMZN,0.0001,0.0216,88.3186,0.3154,0.4977
ASML,0.003,0.0258,76.3031,0.4092,0.4977
AVGO,0.0018,0.0325,291.856,0.4248,0.4977
AZN,0.002,0.0246,8.3419,0.3884,0.4977
BABA,0.0026,0.0306,1.7321,0.474,0.4977
BAC,0.0009,0.0167,1.7306,0.2386,0.4977
BRK-B,0.0004,0.0115,8.4013,0.15,0.4977
CAT,0.0029,0.0208,21.7737,0.3687,0.4977
COST,0.0004,0.0137,29.086,0.2226,0.4977
CSCO,0.0013,0.0167,7.0144,0.4494,0.4977
CVX,0.0012,0.0156,6.7751,0.1976,0.4977
GE,0.0028,0.0197,3.2879,0.3755,0.4977
GOOGL,0.002,0.0198,29.1379,0.2346,0.4977
HD,0.0001,0.0145,15.2873,0.233,0.4977
HSBC,0.0024,0.0158,3.0699,0.2519,0.4977
JNJ,0.002,0.0121,7.0278,0.1579,0.4977
JPM,0.0011,0.0158,13.0833,0.2706,0.4977
KO,0.001,0.0111,7.173,0.1774,0.4977
LLY,0.0013,0.026,31.5,0.4774,0.4977
LRCX,0.0048,0.0319,78.5331,0.6057,0.4977
MA,0.0001,0.0145,126.1199,0.2508,0.4977
MC.PA,-0.0002,0.0207,10.8267,0.3542,0.4977
META,0.0007,0.0242,17.2702,0.4357,0.4977
MRK,0.001,0.0186,7.9207,0.2412,0.4977
MSFT,-0.0,0.0166,21.2736,0.3962,0.4977
MU,0.0066,0.0404,32.4822,0.6876,0.4977
NFLX,-0.0002,0.0209,211.3972,0.2703,0.4977
NOVN.SW,0.0015,0.0126,4.8641,0.1557,0.4977
NVDA,0.0017,0.0303,650.0424,0.3722,0.4977
ORCL,0.0003,0.0385,14.6989,0.5897,0.4977
PG,0.0,0.0119,4.8253,0.1742,0.4977
PLTR,0.0029,0.0418,14.2358,0.5744,0.4977
ROG.SW,0.0015,0.0151,3.5197,0.1817,0.4977
TM,0.001,0.0195,3.6244,0.3309,0.4977
TSLA,0.0008,0.0383,258.5726,0.345,0.4977
TSM,0.0026,0.0256,73.0273,0.3544,0.4977
V,0.0002,0.0144,25.7959,0.2514,0.4977
WMT,0.0012,0.0161,11.9677,0.2955,0.4977
XOM,0.0014,0.0154,5.005,0.2869,0.4977
